POINT_X,POINT_Y,Name,,,
-121.73641357900,36.66225704060,AA Parker,,,
-121.73641357900,36.69014496960,AA Parker,,,
-121.70091985100,36.69014496960,AA Parker,,,
-121.70091985100,36.66225704060,AA Parker,,,
-121.44485795900,36.42140674630,TAI Kilo,,,
-121.44485795900,36.51901449730,TAI Kilo,,,
-121.34471494200,36.51901449730,TAI Kilo,,,
-121.34471494200,36.42140674630,TAI Kilo,,,
-121.38020866900,36.76240005780,AO New York,,,
-121.38020866900,36.86127544190,AO New York,,,
-121.27499512000,36.86127544190,AO New York,,,
-121.27499512000,36.76240005780,AO New York,,,
-121.79599233500,36.50253526620,AA Oscar,,,
-121.79599233500,36.60521354960,AA Oscar,,,
-121.70472275100,36.60521354960,AA Oscar,,,
-121.70472275100,36.50253526620,AA Oscar,,,
-121.57288890500,36.61915751450,AO Tango,,,
-121.57288890500,36.73070922950,AO Tango,,,
-121.46260482300,36.73070922950,AO Tango,,,
-121.46260482300,36.61915751450,AO Tango,,,
